run_idx,prompt_version,temperature,pmid,block_id,skipped,skip_reason,candidate_drugs,candidate_genes,candidate_drug_count,candidate_gene_count,num_candidate_pairs,drug,gene,interaction,interaction_type,directionality,evidence,error_message
0,v2,0,14977850,0,false,,TRAIL;doxorubicin hydrochloride;etoposide;oxaliplatin,TNFSF10,4,1,4,TRAIL,BCL2,true,resistance modulation,inhibiting,,
0,v2,0,14977850,0,false,,TRAIL;doxorubicin hydrochloride;etoposide;oxaliplatin,TNFSF10,4,1,4,doxorubicin hydrochloride,BCL2,true,resistance,inhibitory,,
0,v2,0,14977850,0,false,,TRAIL;doxorubicin hydrochloride;etoposide;oxaliplatin,TNFSF10,4,1,4,etoposide,BCL2,true,resistance,inhibitory,,
0,v2,0,14977850,0,false,,TRAIL;doxorubicin hydrochloride;etoposide;oxaliplatin,TNFSF10,4,1,4,oxaliplatin,BCL2,true,resistance,inhibiting,,
0,v2,0,16684279,1,false,,MPA;calcipotriene,TP53,2,1,2,MPA,BCL2,true,expression modulation,activating,,
0,v2,0,16684279,1,false,,MPA;calcipotriene,TP53,2,1,2,calcipotriene,BCL2,true,expression modulation,activating,,
0,v2,0,16141680,2,true,No normalized drug and gene candidates,methylprednisolone sodium succinate,"",1,0,0,,,,,,,
0,v2,0,24749893,3,true,No normalized drug and gene candidates,"",BAK1;BAX;PMAIP1,0,3,0,,,,,,,
0,v2,0,12576461,4,false,,gefitinib;tyrosine,EGFR,2,1,2,gefitinib,BCL2,true,combination therapy / indirect interaction,inhibiting,,
0,v2,0,12576461,4,false,,gefitinib;tyrosine,EGFR,2,1,2,tyrosine,BCL2,false,,,,"The drug in question is 'tyrosine' (the amino acid), but the abstract discusses ZD1839 (Iressa), a tyrosine kinase inhibitor, and antisense bcl-2/bcl-xL. There is no direct interaction between tyrosine (the compound) and BCL2 described in the text."
0,v2,0,8900367,5,true,No normalized drug and gene candidates,"","",0,0,0,,,,,,,
0,v2,0,11391574,6,true,No normalized drug and gene candidates,"",BAD;BAX;FASLG;FXN,0,4,0,,,,,,,
0,v2,0,21159314,7,false,,ribavirin,IFNA1,1,1,1,ribavirin,BCL2,true,biomarker,unclear,,
0,v2,0,9615758,8,true,No normalized drug and gene candidates,"","",0,0,0,,,,,,,
0,v2,0,8324744,9,true,No normalized drug and gene candidates,QUINAZOLINE;TTP,"",2,0,0,,,,,,,
0,v2,0,16001273,10,false,,oxygen,BAX,1,1,1,oxygen,BCL2,true,expression modulation,activating,,
0,v2,0,11236678,11,false,,biotin;oxygen,BAX,2,1,2,biotin,BCL2,false,,,,"Biotin is mentioned only as part of the LSAB (labelled streptavidin biotin) immunohistochemistry staining method, not as a drug interacting with BCL2. The study investigates hyperbaric oxygen treatment effects on BCL2 expression."
0,v2,0,11236678,11,false,,biotin;oxygen,BAX,2,1,2,oxygen,BCL2,true,expression modulation,activating,,
0,v2,0,14503796,12,false,,cyclophosphamide anhydrous;epinephrine;epirubicin,TCEAL1,3,1,3,cyclophosphamide anhydrous,BCL2,true,expression modulation,unclear,,
0,v2,0,14503796,12,false,,cyclophosphamide anhydrous;epinephrine;epirubicin,TCEAL1,3,1,3,epinephrine,BCL2,false,,,,"The abstract discusses cyclophosphamide, epirubicin, and 5-fluorouracil — not epinephrine. No interaction between epinephrine and BCL2 is supported."
0,v2,0,14503796,12,false,,cyclophosphamide anhydrous;epinephrine;epirubicin,TCEAL1,3,1,3,epirubicin,BCL2,true,expression modulation,unclear,,
0,v2,0,7588311,13,true,No normalized drug and gene candidates,"","",0,0,0,,,,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,bleomycin,BCL2,false,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,bleomycin,BCL2,false,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,cisplatin,BCL2,false,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,cisplatin,BCL2,false,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,etoposide,BCL2,false,,,,
0,v2,0,11350408,14,false,,bleomycin;cisplatin;etoposide,BAX;TP53,3,2,6,etoposide,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Ditiocarb,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Ditiocarb,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Ditiocarb,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Ditiocarb,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Ditiocarb,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinedithiocarbamate,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinedithiocarbamate,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinedithiocarbamate,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinedithiocarbamate,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinedithiocarbamate,BCL2,false,,,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinethiuramdisulfide,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinethiuramdisulfide,BCL2,true,downregulation,inhibitory,,
0,v2,0,9726816,15,false,,Ditiocarb;Prolinedithiocarbamate;Prolinethiuramdisulfide;diethyldithiocarbamate;disulfiram,CDKN1B;NFKB1;SLC12A9;TCEAL1;TP53,5,5,25,Prolinethiuramdisulfide,BCL2,true,downregulation,inhibitory,,
